,date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak,Sun_alt,Sun_az,Sun_dist,Moon_alt,Moon_az,Moon illum,Moon_dist,Mercury_alt,Mercury_az,Mercury_dist,Mercury_illum,Venus_alt,Venus_az,Venus_dist,Venus_illum,Mars_alt,Mars_az,Mars_dist,Mars_illum,Jupiter_alt,Jupiter_az,Jupiter_dist,Jupiter_illum,Saturn_alt,Saturn_az,Saturn_dist,Saturn_illum,Uranus_alt,Uranus_az,Uranus_dist,Uranus_illum,Neptune_alt,Neptune_az,Neptune_dist,Neptune_illum,Deimos_alt,Deimos_az,Deimos_dist,Deimos_illum,Phobos_alt,Phobos_az,Phobos_dist,Phobos_illum,Ganymede_alt,Ganymede_az,Ganymede_dist,Ganymede_illum,Titan_alt,Titan_az,Titan_dist,Titan_illum,Pluto_alt,Pluto_az,pluto_dist,Pluto_illum,Pluto_dist
0,2016-08-01,0,0,33,0.0,16,26,0,31,85,0.8131356835365295,5.541751861572266,1.014960765838623,1.1923410892486572,5.976468563079834,4.327914237976074,0.002472714753821492,0.44563695788383484,5.149017810821533,1.1299195289611816,72.14913940429688,0.5630791187286377,5.271345615386963,1.6477869749069214,96.45565795898438,-0.9400680661201477,3.711474895477295,0.7223635911941528,87.36935424804688,0.11224687844514847,4.816523551940918,6.146254539489746,99.59600830078125,-1.1320619583129883,3.5013697147369385,9.478638648986816,99.81056213378906,0.4239637553691864,1.1554971933364868,19.67403793334961,99.93943786621094,-0.28652888536453247,1.8482495546340942,29.091875076293945,99.99180603027344,-0.28652888536453247,1.8482495546340942,29.091875076293945,99.99180603027344,-0.28652888536453247,1.8482495546340942,29.091875076293945,99.99180603027344,-0.28652888536453247,1.8482495546340942,29.091875076293945,99.99180603027344,-0.28652888536453247,1.8482495546340942,29.091875076293945,99.99180603027344,-0.28652888536453247,1.8482495546340942,29.091875076293945,99.99180603027344,29.091875076293945
1,2016-08-02,0,0,77,0.0,64,39,0,31,0,0.8143131732940674,5.542041778564453,1.0148344039916992,1.0009560585021973,5.740466594696045,0.9899121522903442,0.002497824840247631,0.43892213702201843,5.1422624588012695,1.1166892051696777,70.89258575439453,0.559916079044342,5.267660617828369,1.6446348428726196,96.32813262939453,-0.9307184815406799,3.7219111919403076,0.7277331948280334,87.24040985107422,0.1260937601327896,4.830782413482666,6.156803131103516,99.60787963867188,-1.1183398962020874,3.518932819366455,9.492979049682617,99.80680847167969,0.4069720208644867,1.172732949256897,19.65779685974121,99.94000244140625,-0.3039025664329529,1.8658119440078735,29.083087921142578,99.99224853515625,-0.3039025664329529,1.8658119440078735,29.083087921142578,99.99224853515625,-0.3039025664329529,1.8658119440078735,29.083087921142578,99.99224853515625,-0.3039025664329529,1.8658119440078735,29.083087921142578,99.99224853515625,-0.3039025664329529,1.8658119440078735,29.083087921142578,99.99224853515625,-0.3039025664329529,1.8658119440078735,29.083087921142578,99.99224853515625,29.083087921142578
2,2016-08-03,0,38,56,0.0,48,89,78,41,84,0.8155292868614197,5.542375087738037,1.014702320098877,0.7973280549049377,5.514362335205078,0.07391945272684097,0.0025283638387918472,0.4327310025691986,5.13613224029541,1.1033101081848145,69.6375503540039,0.5567892789840698,5.264056205749512,1.6414304971694946,96.19857025146484,-0.9214885830879211,3.7321834564208984,0.7331228852272034,87.11529541015625,0.1399618685245514,4.845023155212402,6.167191505432129,99.61970520019531,-1.1044195890426636,3.5364670753479004,9.507460594177246,99.80314636230469,0.38997042179107666,1.1899820566177368,19.641633987426758,99.94059753417969,-0.32128259539604187,1.883379340171814,29.074552536010742,99.99268341064453,-0.32128259539604187,1.883379340171814,29.074552536010742,99.99268341064453,-0.32128259539604187,1.883379340171814,29.074552536010742,99.99268341064453,-0.32128259539604187,1.883379340171814,29.074552536010742,99.99268341064453,-0.32128259539604187,1.883379340171814,29.074552536010742,99.99268341064453,-0.32128259539604187,1.883379340171814,29.074552536010742,99.99268341064453,29.074552536010742
3,2016-08-04,0,0,29,0.0,16,64,0,41,0,0.8167829513549805,5.542752742767334,1.0145645141601562,0.5930525064468384,5.2996134757995605,1.4809160232543945,0.0025627142749726772,0.4270643889904022,5.130620002746582,1.0897926092147827,68.3817138671875,0.5536967515945435,5.260530948638916,1.638174295425415,96.06698608398438,-0.9123791456222534,3.7422940731048584,0.7385314702987671,86.99396514892578,0.15384326875209808,4.859245777130127,6.177417755126953,99.6314697265625,-1.090321660041809,3.5539724826812744,9.522078514099121,99.79956817626953,0.3729593753814697,1.207244634628296,19.625553131103516,99.94122314453125,-0.3386688232421875,1.9009517431259155,29.066268920898438,99.99311065673828,-0.3386688232421875,1.9009517431259155,29.066268920898438,99.99311065673828,-0.3386688232421875,1.9009517431259155,29.066268920898438,99.99311065673828,-0.3386688232421875,1.9009517431259155,29.066268920898438,99.99311065673828,-0.3386688232421875,1.9009517431259155,29.066268920898438,99.99311065673828,-0.3386688232421875,1.9009517431259155,29.066268920898438,99.99311065673828,29.066268920898438
4,2016-08-05,0,89,54,0.0,55,45,90,24,0,0.818073034286499,5.543174743652344,1.0144212245941162,0.39197367429733276,5.095888614654541,4.9875407218933105,0.0025987743865698576,0.42192474007606506,5.125720977783203,1.076146125793457,67.12257385253906,0.5506366491317749,5.257083415985107,1.6348665952682495,95.93338012695312,-0.9033904671669006,3.7522456645965576,0.7439576387405396,86.87638092041016,0.16773219406604767,4.87345027923584,6.1874799728393555,99.6431655883789,-1.0760645866394043,3.571448802947998,9.536829948425293,99.79608154296875,0.3559393584728241,1.2245205640792847,19.60955810546875,99.94187927246094,-0.3560609221458435,1.9185290336608887,29.058242797851562,99.99352264404297,-0.3560609221458435,1.9185290336608887,29.058242797851562,99.99352264404297,-0.3560609221458435,1.9185290336608887,29.058242797851562,99.99352264404297,-0.3560609221458435,1.9185290336608887,29.058242797851562,99.99352264404297,-0.3560609221458435,1.9185290336608887,29.058242797851562,99.99352264404297,-0.3560609221458435,1.9185290336608887,29.058242797851562,99.99352264404297,29.058242797851562
5,2016-08-06,0,0,72,0.0,41,0,100,13,0,0.8193984627723694,5.543640613555908,1.0142725706100464,0.19573555886745453,4.901553630828857,10.292022705078125,0.0026341648772358894,0.41731593012809753,5.121431827545166,1.0623791217803955,65.8575210571289,0.5476069450378418,5.2537126541137695,1.6315077543258667,95.79776763916016,-0.8945227861404419,3.762040853500366,0.74940025806427,86.76251220703125,0.1816243678331375,4.887637615203857,6.197376251220703,99.65477752685547,-1.0616650581359863,3.5888960361480713,9.55170726776123,99.79269409179688,0.3389109969139099,1.2418098449707031,19.593656539916992,99.94255828857422,-0.3734586834907532,1.9361109733581543,29.05047607421875,99.99393463134766,-0.3734586834907532,1.9361109733581543,29.05047607421875,99.99393463134766,-0.3734586834907532,1.9361109733581543,29.05047607421875,99.99393463134766,-0.3734586834907532,1.9361109733581543,29.05047607421875,99.99393463134766,-0.3734586834907532,1.9361109733581543,29.05047607421875,99.99393463134766,-0.3734586834907532,1.9361109733581543,29.05047607421875,99.99393463134766,29.05047607421875
6,2016-08-07,0,0,84,0.0,76,31,93,24,0,0.8207578063011169,5.544150352478027,1.0141187906265259,0.010045132599771023,4.714216232299805,17.058958053588867,0.002666465239599347,0.4132435917854309,5.1177520751953125,1.0484992265701294,64.58380126953125,0.5446056127548218,5.2504167556762695,1.6280983686447144,95.66017150878906,-0.8857758641242981,3.7716822624206543,0.7548582553863525,86.65229797363281,0.19551660120487213,4.901808261871338,6.207104682922363,99.66631317138672,-1.0471378564834595,3.606313705444336,9.566707611083984,99.7894058227539,0.3218749761581421,1.2591123580932617,19.577850341796875,99.94327545166016,-0.390861839056015,1.9536974430084229,29.04296875,99.99433135986328,-0.390861839056015,1.9536974430084229,29.04296875,99.99433135986328,-0.390861839056015,1.9536974430084229,29.04296875,99.99433135986328,-0.390861839056015,1.9536974430084229,29.04296875,99.99433135986328,-0.390861839056015,1.9536974430084229,29.04296875,99.99433135986328,-0.390861839056015,1.9536974430084229,29.04296875,99.99433135986328,29.04296875
7,2016-08-08,47,0,60,0.0,49,39,0,21,0,0.8221496939659119,5.544704437255859,1.0139600038528442,-0.18585604429244995,4.531153678894043,24.953414916992188,0.0026934370398521423,0.4097151756286621,5.114682674407959,1.0345137119293213,63.2985725402832,0.5416305065155029,5.247194290161133,1.6246386766433716,95.52059936523438,-0.8771495223045349,3.781172513961792,0.7603305578231812,86.54568481445312,0.20940649509429932,4.915962219238281,6.216664791107178,99.6777572631836,-1.0324963331222534,3.623701810836792,9.581826210021973,99.78621673583984,0.3048321306705475,1.276427984237671,19.562145233154297,99.94402313232422,-0.4082701802253723,1.9712883234024048,29.035728454589844,99.99472045898438,-0.4082701802253723,1.9712883234024048,29.035728454589844,99.99472045898438,-0.4082701802253723,1.9712883234024048,29.035728454589844,99.99472045898438,-0.4082701802253723,1.9712883234024048,29.035728454589844,99.99472045898438,-0.4082701802253723,1.9712883234024048,29.035728454589844,99.99472045898438,-0.4082701802253723,1.9712883234024048,29.035728454589844,99.99472045898438,29.035728454589844
8,2016-08-09,0,0,39,0.0,33,26,0,10,0,0.8235726356506348,5.545301914215088,1.0137965679168701,-0.3702722191810608,4.349592208862305,33.66007614135742,0.00271321227774024,0.4067400395870209,5.112226963043213,1.0204291343688965,61.998870849609375,0.5386794805526733,5.244043350219727,1.6211293935775757,95.37906646728516,-0.8686432242393494,3.7905147075653076,0.7658162713050842,86.44263458251953,0.22329218685626984,4.930099964141846,6.226053714752197,99.68909454345703,-1.0177526473999023,3.6410605907440186,9.597057342529297,99.78314208984375,0.2877834141254425,1.2937567234039307,19.54654884338379,99.94479370117188,-0.4256834089756012,1.9888834953308105,29.028751373291016,99.9950942993164,-0.4256834089756012,1.9888834953308105,29.028751373291016,99.9950942993164,-0.4256834089756012,1.9888834953308105,29.028751373291016,99.9950942993164,-0.4256834089756012,1.9888834953308105,29.028751373291016,99.9950942993164,-0.4256834089756012,1.9888834953308105,29.028751373291016,99.9950942993164,-0.4256834089756012,1.9888834953308105,29.028751373291016,99.9950942993164,29.028751373291016
9,2016-08-10,49,0,59,0.0,34,41,0,11,0,0.8250250220298767,5.545942783355713,1.0136287212371826,-0.5519698858261108,4.166897773742676,42.887855529785156,0.0027244321536272764,0.4043296277523041,5.1103901863098145,1.006252408027649,60.68164825439453,0.5357502698898315,5.24096155166626,1.6175709962844849,95.23558044433594,-0.8602563738822937,3.799710988998413,0.7713144421577454,86.34307861328125,0.23717227578163147,4.9442219734191895,6.235271453857422,99.70033264160156,-1.002917766571045,3.6583898067474365,9.612397193908691,99.7801742553711,0.27073025703430176,1.311098575592041,19.53106117248535,99.94559478759766,-0.44310128688812256,2.0064828395843506,29.022043228149414,99.9954605102539,-0.44310128688812256,2.0064828395843506,29.022043228149414,99.9954605102539,-0.44310128688812256,2.0064828395843506,29.022043228149414,99.9954605102539,-0.44310128688812256,2.0064828395843506,29.022043228149414,99.9954605102539,-0.44310128688812256,2.0064828395843506,29.022043228149414,99.9954605102539,-0.44310128688812256,2.0064828395843506,29.022043228149414,99.9954605102539,29.022043228149414
