,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak,Sun_alt,Sun_az,Sun_dist,Moon_alt,Moon_az,Moon illum,Moon_dist,Mercury_alt,Mercury_az,Mercury_dist,Mercury_illum,Venus_alt,Venus_az,Venus_dist,Venus_illum,Mars_alt,Mars_az,Mars_dist,Mars_illum,Jupiter_alt,Jupiter_az,Jupiter_dist,Jupiter_illum,Saturn_alt,Saturn_az,Saturn_dist,Saturn_illum,Uranus_alt,Uranus_az,Uranus_dist,Uranus_illum,Neptune_alt,Neptune_az,Neptune_dist,Neptune_illum,Deimos_alt,Deimos_az,Deimos_dist,Deimos_illum,Phobos_alt,Phobos_az,Phobos_dist,Phobos_illum,Ganymede_alt,Ganymede_az,Ganymede_dist,Ganymede_illum,Titan_alt,Titan_az,Titan_dist,Titan_illum,Pluto_alt,Pluto_az,pluto_dist,Pluto_illum
Saturn_alt,-0.045253666,-0.004707026,-0.138945608,-0.057082485,-0.07787938,-0.031941439,-0.032058867,0.075800445,0.03812252,-0.532779677,-0.2968735,-0.711517122,0.039280462,0.022851819,-0.05026154,-0.013922259,0.134166685,0.230179266,0.07073408,0.06371728,-0.217331272,0.162747718,0.021627352,0.016517909,0.070279117,-0.234671087,0.044873523,-0.43008098,0.721197152,-0.342076776,0.244096766,0.027196065,1,0.010080906,0.732110187,0.014697605,-0.266599563,0.748971581,0.38559164,0.174273605,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512,0.423921022,0.667035514,0.900903706,0.019182512
Saturn_az,-0.060636565,-0.003380565,-0.00154941,0.039778297,-0.03612498,-0.049019224,-0.038090208,-0.012277293,-0.026132648,-0.406533828,0.218710561,-0.526302585,-0.015615278,0.006597751,-0.002307737,0.006617435,-0.170088824,-0.038753091,0.135579728,0.08360427,-0.026027336,-0.089276028,0.114601964,0.156386472,-0.142519283,0.037866185,-0.097955599,-0.081107179,0.385129974,0.515465542,0.679690579,0.275474841,0.010080906,1,0.547144772,0.408808751,-0.73560058,-0.234316686,-0.704173938,-0.290020133,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414,-0.669338115,0.171755374,-0.250703666,-0.123053414
Saturn_dist,-0.055655405,-0.018096916,-0.124627489,-0.028194584,-0.102892422,-0.044380976,-0.038987207,0.039216293,0.004873869,-0.546002872,0.054418651,-0.960879784,0.014806611,0.029956658,-0.039026525,-0.00442529,-0.020217981,0.134135101,0.208874924,0.158836105,-0.173176208,0.143093698,0.097377017,0.118310648,-0.078885415,-0.101309165,-0.063633488,-0.369511228,0.853524832,0.168645514,0.768065133,0.144757112,0.732110187,0.547144772,1,0.066297893,-0.836684969,0.40829561,-0.318663345,0.094289386,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086,-0.267252034,0.733186079,0.436030007,0.080596086
Saturn_illum,-0.049149033,-0.006703259,-0.005472813,0.036525457,0.00735526,-0.043137733,-0.047186361,-0.013069832,-0.01247479,-0.676596098,-0.272189264,-0.123481998,0.0014138,-0.015210282,0.000963207,-0.001129934,-0.114099214,-0.011330672,0.064909631,0.054884954,-0.035012965,-0.35433032,-0.006966281,0.053853469,0.072098275,-0.110582824,0.052934106,-0.00430245,-0.032447938,0.08640114,-0.01403712,0.303137988,0.014697605,0.408808751,0.066297893,1,-0.0891219,-0.300670531,-0.050385965,-0.714915117,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629,-0.033953861,-0.085181534,0.037103312,-0.514090629
Uranus_alt,0.039393348,0.023575581,0.077413517,-0.010622118,0.075043893,0.037968858,0.032987431,-0.001424497,0.038022667,0.358084837,-0.348533516,0.833005462,0.007899516,-0.018985737,0.013079161,-0.003402435,0.119046586,-0.033687511,-0.251200418,-0.182640054,0.08156385,-0.091838068,-0.09602843,-0.126814918,0.165622701,-0.041168489,0.123725628,0.174752138,-0.61448363,-0.444819902,-0.810979583,-0.189898594,-0.266599563,-0.73560058,-0.836684969,-0.0891219,1,0.004356232,0.764867427,-0.025041548,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174,0.721965072,-0.537906647,0.083958596,-0.072012174
Uranus_az,-0.029618026,-0.001401003,-0.134953206,-0.044929433,-0.055026762,-0.023595786,-0.002677292,0.07612376,0.033561935,-0.129431581,-0.128437819,-0.408068788,0.041084258,0.022770261,-0.037769753,-0.016333431,0.211089084,0.224538148,0.022399458,0.034948987,-0.080948286,0.159713001,-0.028235096,-0.055036144,0.070533027,-0.180618484,0.036014687,-0.279820839,0.389120683,-0.348613474,0.009456957,-0.038671296,0.748971581,-0.234316686,0.40829561,-0.300670531,0.004356232,1,0.503057085,0.443957177,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721,0.544966167,0.374569209,0.781897509,0.059479721
Uranus_dist,0.007022731,0.017905188,-0.024476946,-0.049779262,0.006431182,0.005187844,0.019141134,0.055855589,0.060880711,-0.047672818,-0.570793331,0.302911308,0.029226916,-0.006676516,-0.01518372,-0.010458475,0.194804413,0.113593464,-0.194689033,-0.133487863,-0.042046358,-0.021511012,-0.114781668,-0.13977221,0.208204349,-0.195264387,0.150024965,-0.074304605,-0.175977028,-0.639782774,-0.62607185,-0.166221639,0.38559164,-0.704173938,-0.318663345,-0.050385965,0.764867427,0.503057085,1,0.048202207,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295,0.987566219,-0.031167549,0.696475184,-0.032631295
Uranus_illum,0.026564375,-0.032344498,-0.027481998,-0.036756009,-0.044281204,0.06344482,0.021178562,0.023232488,0.000518172,0.627627598,0.657754957,-0.046558201,0.006742816,0.010969974,-0.005594702,-0.004576443,0.180179941,0.117440927,0.004422808,0.008928493,0.105424238,0.327933911,-0.018724374,-0.088606258,-0.019650091,0.099248063,-0.030806344,-0.097617925,0.125696135,0.001880228,0.064439583,0.03966092,0.174273605,-0.290020133,0.094289386,-0.714915117,-0.025041548,0.443957177,0.048202207,1,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039,0.039258414,0.030091598,0.095398199,-0.034451039
Neptune_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
Neptune_az,-0.017549447,-0.01721858,-0.104604018,-0.038605821,-0.103769037,-0.032212543,-0.027077809,0.051881616,0.039605333,-0.412349546,-0.262314514,-0.753081769,0.006917194,0.027896539,-0.022476742,0.009470942,0.048334935,0.139257285,0.102492109,0.071576816,-0.139806567,0.121857096,0.028568105,0.044312727,-0.033992435,-0.131500059,-0.035030803,-0.250228182,0.583445516,-0.050531465,0.414430825,-0.010703393,0.667035514,0.171755374,0.733186079,-0.085181534,-0.537906647,0.374569209,-0.031167549,0.030091598,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066
Neptune_dist,-0.02908531,0.00679661,-0.115487915,-0.05435398,-0.054027078,-0.03626236,-0.013234287,0.086219048,0.057551958,-0.494745996,-0.507158291,-0.466826379,0.034437031,0.009180472,-0.035649095,-0.012332437,0.169403205,0.217481723,-0.01054969,0.007824407,-0.128125871,0.069608947,-0.045722733,-0.051949703,0.120849749,-0.27341158,0.076774578,-0.297475999,0.397305305,-0.473564725,-0.081417219,-0.048146289,0.900903706,-0.250703666,0.436030007,0.037103312,0.083958596,0.781897509,0.696475184,0.095398199,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416
Neptune_illum,0.042855028,0.041885705,-0.018227392,0.011854038,-0.029915568,0.007431994,0.038757269,0.025402038,0.020898371,0.234880755,-0.373550367,-0.060923615,-0.006860216,0.006718398,0.003380694,0.004043479,0.063091769,-0.003075036,0.029530235,0.023544413,-0.079303823,0.089035097,0.027962637,0.039236434,-0.047032238,-0.000646822,-0.046680799,-0.005899218,0.082631729,-0.017622214,0.105669777,-0.238535929,0.019182512,-0.123053414,0.080596086,-0.514090629,-0.072012174,0.059479721,-0.032631295,-0.034451039,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1
Deimos_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
Deimos_az,-0.017549447,-0.01721858,-0.104604018,-0.038605821,-0.103769037,-0.032212543,-0.027077809,0.051881616,0.039605333,-0.412349546,-0.262314514,-0.753081769,0.006917194,0.027896539,-0.022476742,0.009470942,0.048334935,0.139257285,0.102492109,0.071576816,-0.139806567,0.121857096,0.028568105,0.044312727,-0.033992435,-0.131500059,-0.035030803,-0.250228182,0.583445516,-0.050531465,0.414430825,-0.010703393,0.667035514,0.171755374,0.733186079,-0.085181534,-0.537906647,0.374569209,-0.031167549,0.030091598,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066
Deimos_dist,-0.02908531,0.00679661,-0.115487915,-0.05435398,-0.054027078,-0.03626236,-0.013234287,0.086219048,0.057551958,-0.494745996,-0.507158291,-0.466826379,0.034437031,0.009180472,-0.035649095,-0.012332437,0.169403205,0.217481723,-0.01054969,0.007824407,-0.128125871,0.069608947,-0.045722733,-0.051949703,0.120849749,-0.27341158,0.076774578,-0.297475999,0.397305305,-0.473564725,-0.081417219,-0.048146289,0.900903706,-0.250703666,0.436030007,0.037103312,0.083958596,0.781897509,0.696475184,0.095398199,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416
Deimos_illum,0.042855028,0.041885705,-0.018227392,0.011854038,-0.029915568,0.007431994,0.038757269,0.025402038,0.020898371,0.234880755,-0.373550367,-0.060923615,-0.006860216,0.006718398,0.003380694,0.004043479,0.063091769,-0.003075036,0.029530235,0.023544413,-0.079303823,0.089035097,0.027962637,0.039236434,-0.047032238,-0.000646822,-0.046680799,-0.005899218,0.082631729,-0.017622214,0.105669777,-0.238535929,0.019182512,-0.123053414,0.080596086,-0.514090629,-0.072012174,0.059479721,-0.032631295,-0.034451039,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1
Phobos_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
Phobos_az,-0.017549447,-0.01721858,-0.104604018,-0.038605821,-0.103769037,-0.032212543,-0.027077809,0.051881616,0.039605333,-0.412349546,-0.262314514,-0.753081769,0.006917194,0.027896539,-0.022476742,0.009470942,0.048334935,0.139257285,0.102492109,0.071576816,-0.139806567,0.121857096,0.028568105,0.044312727,-0.033992435,-0.131500059,-0.035030803,-0.250228182,0.583445516,-0.050531465,0.414430825,-0.010703393,0.667035514,0.171755374,0.733186079,-0.085181534,-0.537906647,0.374569209,-0.031167549,0.030091598,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066
Phobos_dist,-0.02908531,0.00679661,-0.115487915,-0.05435398,-0.054027078,-0.03626236,-0.013234287,0.086219048,0.057551958,-0.494745996,-0.507158291,-0.466826379,0.034437031,0.009180472,-0.035649095,-0.012332437,0.169403205,0.217481723,-0.01054969,0.007824407,-0.128125871,0.069608947,-0.045722733,-0.051949703,0.120849749,-0.27341158,0.076774578,-0.297475999,0.397305305,-0.473564725,-0.081417219,-0.048146289,0.900903706,-0.250703666,0.436030007,0.037103312,0.083958596,0.781897509,0.696475184,0.095398199,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416
Phobos_illum,0.042855028,0.041885705,-0.018227392,0.011854038,-0.029915568,0.007431994,0.038757269,0.025402038,0.020898371,0.234880755,-0.373550367,-0.060923615,-0.006860216,0.006718398,0.003380694,0.004043479,0.063091769,-0.003075036,0.029530235,0.023544413,-0.079303823,0.089035097,0.027962637,0.039236434,-0.047032238,-0.000646822,-0.046680799,-0.005899218,0.082631729,-0.017622214,0.105669777,-0.238535929,0.019182512,-0.123053414,0.080596086,-0.514090629,-0.072012174,0.059479721,-0.032631295,-0.034451039,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1
Ganymede_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
Ganymede_az,-0.017549447,-0.01721858,-0.104604018,-0.038605821,-0.103769037,-0.032212543,-0.027077809,0.051881616,0.039605333,-0.412349546,-0.262314514,-0.753081769,0.006917194,0.027896539,-0.022476742,0.009470942,0.048334935,0.139257285,0.102492109,0.071576816,-0.139806567,0.121857096,0.028568105,0.044312727,-0.033992435,-0.131500059,-0.035030803,-0.250228182,0.583445516,-0.050531465,0.414430825,-0.010703393,0.667035514,0.171755374,0.733186079,-0.085181534,-0.537906647,0.374569209,-0.031167549,0.030091598,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066
Ganymede_dist,-0.02908531,0.00679661,-0.115487915,-0.05435398,-0.054027078,-0.03626236,-0.013234287,0.086219048,0.057551958,-0.494745996,-0.507158291,-0.466826379,0.034437031,0.009180472,-0.035649095,-0.012332437,0.169403205,0.217481723,-0.01054969,0.007824407,-0.128125871,0.069608947,-0.045722733,-0.051949703,0.120849749,-0.27341158,0.076774578,-0.297475999,0.397305305,-0.473564725,-0.081417219,-0.048146289,0.900903706,-0.250703666,0.436030007,0.037103312,0.083958596,0.781897509,0.696475184,0.095398199,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416
Ganymede_illum,0.042855028,0.041885705,-0.018227392,0.011854038,-0.029915568,0.007431994,0.038757269,0.025402038,0.020898371,0.234880755,-0.373550367,-0.060923615,-0.006860216,0.006718398,0.003380694,0.004043479,0.063091769,-0.003075036,0.029530235,0.023544413,-0.079303823,0.089035097,0.027962637,0.039236434,-0.047032238,-0.000646822,-0.046680799,-0.005899218,0.082631729,-0.017622214,0.105669777,-0.238535929,0.019182512,-0.123053414,0.080596086,-0.514090629,-0.072012174,0.059479721,-0.032631295,-0.034451039,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1
Titan_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
Titan_az,-0.017549447,-0.01721858,-0.104604018,-0.038605821,-0.103769037,-0.032212543,-0.027077809,0.051881616,0.039605333,-0.412349546,-0.262314514,-0.753081769,0.006917194,0.027896539,-0.022476742,0.009470942,0.048334935,0.139257285,0.102492109,0.071576816,-0.139806567,0.121857096,0.028568105,0.044312727,-0.033992435,-0.131500059,-0.035030803,-0.250228182,0.583445516,-0.050531465,0.414430825,-0.010703393,0.667035514,0.171755374,0.733186079,-0.085181534,-0.537906647,0.374569209,-0.031167549,0.030091598,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066
Titan_dist,-0.02908531,0.00679661,-0.115487915,-0.05435398,-0.054027078,-0.03626236,-0.013234287,0.086219048,0.057551958,-0.494745996,-0.507158291,-0.466826379,0.034437031,0.009180472,-0.035649095,-0.012332437,0.169403205,0.217481723,-0.01054969,0.007824407,-0.128125871,0.069608947,-0.045722733,-0.051949703,0.120849749,-0.27341158,0.076774578,-0.297475999,0.397305305,-0.473564725,-0.081417219,-0.048146289,0.900903706,-0.250703666,0.436030007,0.037103312,0.083958596,0.781897509,0.696475184,0.095398199,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416
Titan_illum,0.042855028,0.041885705,-0.018227392,0.011854038,-0.029915568,0.007431994,0.038757269,0.025402038,0.020898371,0.234880755,-0.373550367,-0.060923615,-0.006860216,0.006718398,0.003380694,0.004043479,0.063091769,-0.003075036,0.029530235,0.023544413,-0.079303823,0.089035097,0.027962637,0.039236434,-0.047032238,-0.000646822,-0.046680799,-0.005899218,0.082631729,-0.017622214,0.105669777,-0.238535929,0.019182512,-0.123053414,0.080596086,-0.514090629,-0.072012174,0.059479721,-0.032631295,-0.034451039,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1
Pluto_alt,0.005625298,0.01427071,-0.028942919,-0.047464933,0.013056216,0.00346868,0.013013855,0.056540241,0.070633092,-0.094005975,-0.574018949,0.251777747,0.028691427,-0.004747996,-0.01596508,-0.009725107,0.210273233,0.138017431,-0.185541222,-0.125940342,-0.037322459,-0.015616174,-0.084746084,-0.107463321,0.191057929,-0.215269722,0.135685534,-0.093573223,-0.128857316,-0.619659884,-0.589040974,-0.156970755,0.423921022,-0.669338115,-0.267252034,-0.033953861,0.721965072,0.544966167,0.987566219,0.039258414,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979,1,0.003074611,0.731866528,-0.051013979
Pluto_az,-0.017549447,-0.01721858,-0.104604018,-0.038605821,-0.103769037,-0.032212543,-0.027077809,0.051881616,0.039605333,-0.412349546,-0.262314514,-0.753081769,0.006917194,0.027896539,-0.022476742,0.009470942,0.048334935,0.139257285,0.102492109,0.071576816,-0.139806567,0.121857096,0.028568105,0.044312727,-0.033992435,-0.131500059,-0.035030803,-0.250228182,0.583445516,-0.050531465,0.414430825,-0.010703393,0.667035514,0.171755374,0.733186079,-0.085181534,-0.537906647,0.374569209,-0.031167549,0.030091598,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066,0.003074611,1,0.534182679,0.425036066
pluto_dist,-0.02908531,0.00679661,-0.115487915,-0.05435398,-0.054027078,-0.03626236,-0.013234287,0.086219048,0.057551958,-0.494745996,-0.507158291,-0.466826379,0.034437031,0.009180472,-0.035649095,-0.012332437,0.169403205,0.217481723,-0.01054969,0.007824407,-0.128125871,0.069608947,-0.045722733,-0.051949703,0.120849749,-0.27341158,0.076774578,-0.297475999,0.397305305,-0.473564725,-0.081417219,-0.048146289,0.900903706,-0.250703666,0.436030007,0.037103312,0.083958596,0.781897509,0.696475184,0.095398199,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416,0.731866528,0.534182679,1,0.008941416
Pluto_illum,0.042855028,0.041885705,-0.018227392,0.011854038,-0.029915568,0.007431994,0.038757269,0.025402038,0.020898371,0.234880755,-0.373550367,-0.060923615,-0.006860216,0.006718398,0.003380694,0.004043479,0.063091769,-0.003075036,0.029530235,0.023544413,-0.079303823,0.089035097,0.027962637,0.039236434,-0.047032238,-0.000646822,-0.046680799,-0.005899218,0.082631729,-0.017622214,0.105669777,-0.238535929,0.019182512,-0.123053414,0.080596086,-0.514090629,-0.072012174,0.059479721,-0.032631295,-0.034451039,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1,-0.051013979,0.425036066,0.008941416,1
