date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2020-12-04,100,0,52,0,74,16,0,28,73
2020-12-05,0,56,52,0,39,49,100,30,0
2020-12-06,0,100,45,0,26,30,90,14,34
2020-12-07,0,0,51,100,40,81,0,0,0
2020-12-08,0,0,62,51,32,55,0,13,0
2020-12-09,45,0,42,0,74,56,0,13,33
2020-12-10,0,0,34,0,100,0,0,39,0
2020-12-11,0,0,58,0,45,46,0,42,0
2020-12-12,0,0,67,0,20,50,0,30,0
2020-12-13,0,50,67,55,61,59,0,0,0
2020-12-14,0,0,62,53,42,71,0,26,0
2020-12-15,0,0,43,0,84,43,0,13,100
2020-12-16,0,0,59,0,33,56,0,26,0
2020-12-17,45,0,63,0,66,28,85,0,0
2020-12-18,0,0,73,0,18,47,0,14,0
2020-12-19,0,0,85,0,49,49,0,45,0
2020-12-20,47,0,64,0,52,44,0,27,0
2020-12-21,88,46,60,0,40,55,0,25,0
2020-12-22,0,0,69,0,66,28,0,25,0
2020-12-23,0,0,100,0,33,28,0,13,0
2020-12-24,0,0,81,0,50,50,0,31,0
2020-12-25,57,0,40,0,31,18,0,0,0
2020-12-26,0,0,40,55,53,44,0,41,0
2020-12-27,47,0,35,0,26,73,89,54,0
2020-12-28,49,0,36,0,45,60,0,28,0
2020-12-29,0,0,36,0,53,15,0,14,70
2020-12-30,0,0,36,0,44,30,0,27,0
2020-12-31,0,58,36,0,0,52,0,16,0
2021-01-01,53,0,64,40,40,23,100,41,0
2021-01-02,0,94,58,36,29,64,0,37,0
2021-01-03,0,93,69,0,51,42,0,19,46
2021-01-04,97,0,55,0,66,21,0,19,47
2021-01-05,46,88,45,0,35,40,86,88,44
2021-01-06,0,0,37,0,62,40,0,17,0
2021-01-07,0,0,53,0,20,19,0,17,42
2021-01-08,0,0,64,0,58,42,90,18,92
2021-01-09,0,0,71,0,24,92,0,60,50
2021-01-10,0,0,68,0,79,21,0,18,92
2021-01-11,0,0,76,0,20,19,0,85,0
2021-01-12,0,0,30,100,13,78,0,34,0
2021-01-13,0,0,51,0,55,40,0,17,0
2021-01-14,46,0,58,0,21,0,0,35,0
2021-01-15,0,0,30,0,30,65,0,57,0
2021-01-16,0,0,76,0,48,93,0,20,0
2021-01-17,0,0,89,0,27,60,86,35,0
2021-01-18,0,0,69,33,40,38,82,17,42
2021-01-19,43,0,65,0,46,0,0,0,83
2021-01-20,0,83,90,0,39,94,81,50,0
2021-01-21,45,86,100,0,47,39,0,34,0
2021-01-22,100,96,52,0,23,22,0,0,0
2021-01-23,0,100,74,0,71,46,0,100,100
2021-01-24,0,0,65,34,21,100,0,18,44
2021-01-25,0,0,79,66,27,58,83,51,0
2021-01-26,0,0,66,0,100,58,0,17,0
2021-01-27,0,0,56,0,40,77,0,17,0
2021-01-28,44,85,50,0,27,58,0,0,0
2021-01-29,49,0,78,37,15,22,0,19,47
2021-01-30,0,0,71,41,42,0,0,64,0
2021-01-31,0,0,80,0,31,45,0,78,0
2021-02-01,0,0,45,0,30,48,94,21,33
2021-02-02,51,0,62,0,65,58,0,41,32
2021-02-03,0,0,54,0,29,24,0,21,0
2021-02-04,0,0,58,0,45,60,0,21,0
2021-02-05,56,0,38,0,56,26,0,90,0
2021-02-06,0,0,92,100,42,27,0,48,38
2021-02-07,0,0,79,0,42,54,0,47,0
2021-02-08,0,0,87,0,52,36,95,0,100
2021-02-09,0,0,64,0,42,0,0,100,0
2021-02-10,98,0,57,0,42,34,0,0,62
2021-02-11,0,47,67,0,30,0,0,21,66
2021-02-12,0,0,80,0,16,13,0,46,0
2021-02-13,0,0,97,0,86,56,0,73,0
2021-02-14,50,45,53,0,29,23,0,20,32
2021-02-15,47,0,44,0,34,33,0,57,30
2021-02-16,0,0,77,0,34,100,0,0,0
2021-02-17,49,0,51,82,35,11,88,20,62
2021-02-18,0,93,96,88,67,48,94,0,33
2021-02-19,0,0,63,0,49,66,0,0,73
