date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2016-11-28,0,49,51,,42,24,0,11,0
2016-11-29,0,100,73,,26,62,0,34,0
2016-11-30,0,0,64,,44,63,0,23,0
2016-12-01,0,0,30,71.0,25,79,43,32,85
2016-12-02,0,0,35,0.0,14,15,50,0,0
2016-12-03,0,0,50,0.0,32,84,0,61,0
2016-12-04,0,0,38,0.0,51,40,44,65,0
2016-12-05,0,0,30,0.0,87,34,0,28,73
2016-12-06,92,0,42,0.0,60,75,0,46,0
2016-12-07,0,0,28,0.0,12,100,41,45,0
2016-12-08,0,0,46,0.0,48,63,41,61,0
2016-12-09,0,0,32,0.0,44,61,0,19,0
2016-12-10,0,100,48,0.0,58,46,100,18,0
2016-12-11,100,90,53,0.0,78,55,45,83,0
2016-12-12,0,84,49,0.0,73,13,0,47,0
2016-12-13,0,86,53,0.0,50,39,0,0,0
2016-12-14,96,0,58,0.0,12,39,0,48,84
2016-12-15,0,90,89,0.0,13,55,0,100,0
2016-12-16,0,0,44,0.0,44,0,0,19,100
2016-12-17,0,0,76,0.0,17,17,0,85,0
2016-12-18,0,0,52,0.0,54,57,0,34,0
2016-12-19,96,0,59,0.0,0,65,0,63,0
2016-12-20,0,0,43,0.0,52,14,0,33,0
2016-12-21,0,0,47,0.0,53,14,0,17,0
2016-12-22,0,0,100,0.0,54,71,0,35,0
2016-12-23,0,0,76,0.0,30,48,0,77,0
2016-12-24,0,0,77,0.0,35,0,0,89,0
2016-12-25,0,0,32,100.0,35,37,0,0,0
2016-12-26,0,0,31,0.0,30,32,0,96,0
2016-12-27,0,0,18,0.0,28,45,0,73,0
2016-12-28,0,98,21,0.0,57,30,0,36,0
2016-12-29,0,0,37,0.0,14,15,0,36,0
2016-12-30,0,0,47,0.0,79,67,55,20,0
2016-12-31,0,0,15,0.0,100,35,0,43,0
2017-01-01,100,0,44,0.0,37,64,0,22,58
2017-01-02,0,97,52,0.0,68,15,0,0,0
2017-01-03,0,0,54,0.0,33,28,97,79,0
2017-01-04,0,0,74,0.0,82,43,0,79,0
2017-01-05,48,100,79,0.0,88,61,0,63,55
2017-01-06,0,0,81,0.0,36,31,0,65,0
2017-01-07,0,0,49,0.0,57,49,0,45,0
2017-01-08,0,0,78,0.0,33,57,0,99,0
2017-01-09,0,0,61,0.0,45,39,0,73,47
2017-01-10,0,88,47,96.0,46,40,0,18,48
2017-01-11,0,0,55,0.0,46,40,0,55,0
2017-01-12,0,89,81,0.0,31,40,0,37,0
2017-01-13,0,0,53,0.0,69,30,0,83,0
2017-01-14,0,0,65,0.0,73,16,0,87,0
2017-01-15,0,0,41,100.0,96,69,0,38,100
2017-01-16,0,83,45,0.0,44,25,0,53,46
2017-01-17,0,0,55,0.0,73,25,0,70,0
2017-01-18,0,0,34,0.0,14,49,0,68,0
2017-01-19,0,0,52,0.0,59,89,0,0,0
2017-01-20,0,98,57,0.0,34,44,0,82,0
2017-01-21,0,0,73,0.0,34,45,0,21,0
2017-01-22,0,0,100,0.0,15,13,0,54,0
2017-01-23,0,0,66,0.0,73,38,0,70,46
2017-01-24,0,0,63,0.0,74,26,0,18,0
2017-01-25,0,0,34,0.0,58,13,0,87,0
2017-01-26,0,0,63,0.0,15,26,0,71,0
2017-01-27,0,95,75,0.0,100,0,0,100,0
2017-01-28,0,0,55,0.0,58,100,0,69,0
2017-01-29,46,0,68,0.0,34,0,100,61,0
2017-01-30,0,0,74,0.0,75,13,0,72,0
2017-01-31,0,0,50,0.0,99,12,0,51,89
2017-02-01,52,0,59,0.0,11,26,0,11,0
2017-02-02,0,79,51,0.0,55,27,50,58,20
2017-02-03,0,0,48,0.0,63,15,0,0,0
2017-02-04,0,100,49,0.0,28,84,0,15,0
2017-02-05,0,0,51,0.0,0,33,0,14,0
2017-02-06,0,0,28,0.0,80,56,52,24,21
2017-02-07,0,0,40,0.0,21,39,0,100,0
2017-02-08,0,0,63,0.0,74,64,48,55,0
2017-02-09,0,79,62,0.0,44,40,100,11,0
2017-02-10,0,0,55,0.0,38,15,0,27,0
2017-02-11,66,0,89,0.0,55,33,0,43,0
2017-02-12,0,80,84,0.0,66,27,0,70,100
2017-02-13,0,0,71,0.0,100,61,0,31,18
2017-02-14,52,0,40,0.0,32,0,0,56,0
2017-02-15,100,0,48,0.0,41,100,0,54,0
2017-02-16,49,0,55,0.0,61,49,0,0,0
2017-02-17,55,81,58,0.0,34,55,0,24,0
2017-02-18,0,0,71,0.0,50,91,57,65,23
2017-02-19,0,0,40,0.0,56,27,51,47,0
2017-02-20,51,0,28,0.0,31,50,0,11,0
2017-02-21,0,0,17,0.0,64,65,0,11,0
2017-02-22,52,0,61,0.0,32,26,0,22,0
2017-02-23,0,77,61,0.0,43,39,0,45,0
2017-02-24,59,0,100,0.0,25,59,0,38,0
2017-02-25,64,0,86,0.0,66,32,0,28,0
2017-02-26,0,80,63,100.0,33,40,51,23,0
